ShipmentID,SPID,PID,GID,Shipdate,Amount,Boxes,Order_Status
S00000162,SP01,P06,G4,01-Dec-23,7800.75,710,Delivered
S00000175,SP01,P19,G4,14-Jul-23,33.75,2,Delivered
S00000179,SP01,P19,G5,14-Jun-24,3066.75,162,Delivered
S00000188,SP01,P19,G3,25-Jul-23,5917.5,296,Delivered
S00000189,SP01,P19,G4,01-Oct-24,1827,84,Delivered
S00000190,SP01,P19,G4,16-Feb-23,6570,299,Delivered
S00000209,SP01,P19,G6,23-Oct-24,3161.25,132,Cancelled
S00000211,SP01,P19,G1,01-Dec-23,9459,473,Delivered
S00000217,SP01,P19,G4,11-Jun-24,16839,733,Delivered
S00000226,SP01,P19,G1,08-May-23,6050.25,276,Delivered
S00000227,SP01,P19,G1,05-Dec-23,1599.75,64,Delivered
S00000231,SP01,P19,G4,26-Jul-24,3215.25,170,Delivered
S00000238,SP01,P15,G1,31-Oct-23,3755.25,269,Delivered
S00000239,SP01,P15,G1,29-Jun-23,4882.5,376,Delivered
S00000247,SP01,P15,G4,24-Mar-25,4578.75,382,Placed
S00000252,SP01,P15,G1,14-May-24,371.25,38,Delivered
S00000256,SP01,P15,G2,10-Feb-25,3921.75,246,Shipped
S00000266,SP01,P15,G1,01-Feb-24,2281.5,176,Delivered
S00000267,SP01,P15,G1,11-Sep-23,4191.75,350,Delivered
S00000272,SP01,P15,G3,10-Mar-23,9229.5,616,Delivered
S00000278,SP01,P15,G5,14-Jan-25,5004,417,Shipped
S00000279,SP01,P15,G6,24-Mar-25,8525.25,711,Placed
S00000285,SP01,P15,G2,29-Nov-23,2920.5,293,Delivered
S00000288,SP01,P15,G4,19-Jun-23,2085.75,131,Delivered
S00000290,SP01,P15,G5,22-Jan-24,8597.25,538,Delivered
S00000292,SP01,P15,G5,11-Dec-24,387,33,Delivered
S00000304,SP01,P15,G5,01-Nov-24,3300.75,367,Delivered
S00000305,SP01,P15,G5,28-Jan-25,2837.25,203,Shipped
S00000311,SP01,P11,G1,28-Dec-23,5712.75,440,Delivered
S00000320,SP01,P11,G5,13-Dec-24,4767.75,530,Delivered
S00000329,SP01,P11,G4,27-Feb-23,1912.5,213,Delivered
S00000332,SP01,P11,G5,09-Jan-23,6768,564,Delivered
S00000336,SP01,P11,G1,14-Mar-24,416.25,60,Delivered
S00000337,SP01,P11,G1,08-Oct-24,5256,405,Delivered
S00000340,SP01,P11,G2,25-Jan-24,3685.5,410,Delivered
S00000349,SP01,P11,G6,16-Oct-23,1554.75,130,Delivered
S00000354,SP01,P11,G2,10-Mar-25,1512,216,Placed
S00000359,SP01,P11,G4,18-Oct-24,1260,105,Delivered
S00000362,SP01,P11,G5,18-Mar-24,1858.5,207,Delivered
S00000377,SP01,P10,G6,10-Apr-24,2756.25,154,Delivered
S00000383,SP01,P10,G2,24-May-23,5935.5,330,Delivered
S00000390,SP01,P10,G5,21-Feb-23,4207.5,301,Delivered
S00000400,SP01,P10,G4,17-Jun-24,2709,151,Delivered
S00000401,SP01,P10,G4,19-Sep-24,5791.5,446,Delivered
S00000402,SP01,P10,G5,26-Dec-23,8721,513,Delivered
S00000403,SP01,P10,G5,20-Feb-25,6894,575,Shipped
S00000407,SP01,P04,G1,27-Jun-24,5658.75,247,Cancelled
S00000417,SP01,P04,G5,24-Feb-25,2900.25,101,Shipped
S00000422,SP01,P04,G1,17-Oct-23,3755.25,157,Delivered
S00000429,SP01,P04,G4,05-Sep-23,13045.5,484,Delivered
S00000435,SP01,P04,G1,06-Jan-23,7260.75,269,Delivered
S00000437,SP01,P04,G1,29-Oct-24,15813,659,Delivered
S00000438,SP01,P04,G2,23-Oct-23,4113,165,Delivered
S00000439,SP01,P04,G2,22-Feb-23,11389.5,439,Delivered
S00000444,SP01,P04,G5,27-Dec-23,6174,238,Delivered
S00000448,SP01,P04,G1,25-Dec-24,7130.25,265,Delivered
S00000467,SP01,P16,G2,18-Dec-24,9560.25,456,Delivered
S00000485,SP01,P16,G4,30-Oct-24,10226.25,394,Delivered
S00000488,SP01,P16,G5,28-Feb-23,17037,656,Delivered
S00000504,SP01,P16,G1,24-Oct-23,3933,197,Delivered
S00000505,SP01,P16,G1,16-Dec-24,10608.75,409,Delivered
S00000506,SP01,P16,G1,14-Dec-23,3843,175,Delivered
S00000511,SP01,P16,G4,16-Oct-23,5442.75,210,Delivered
S00000519,SP01,P16,G1,04-Jul-24,5348.25,268,Delivered
S00000528,SP01,P16,G5,18-Sep-23,4864.5,212,Delivered
S00000539,SP01,P16,G4,25-Aug-23,2515.5,94,Delivered
S00000590,SP01,P21,G1,13-Feb-24,497.25,32,Delivered
S00000591,SP01,P21,G1,10-Dec-24,4830.75,211,Delivered
S00000601,SP01,P21,G6,29-Sep-23,1428.75,76,Delivered
S00000603,SP01,P21,G1,05-Apr-23,9200.25,576,Delivered
S00000604,SP01,P21,G1,14-Jan-25,8982,450,Cancelled
S00000605,SP01,P21,G1,07-Mar-25,10374.75,495,Placed
S00000609,SP01,P21,G4,08-Nov-23,3656.25,159,Delivered
S00000612,SP01,P21,G5,25-Mar-25,5987.25,375,Placed
S00000614,SP01,P21,G5,22-May-23,4983.75,250,Delivered
S00000617,SP01,P21,G1,30-Jul-24,3141,150,Cancelled
S00000620,SP01,P21,G2,18-Nov-24,8300.25,378,Delivered
S00000625,SP01,P21,G4,18-Oct-24,481.5,29,Delivered
S00000639,SP01,P05,G4,27-Mar-23,3478.5,134,Delivered
S00000663,SP01,P05,G2,04-Jan-24,11234.25,469,Delivered
S00000672,SP01,P05,G1,06-Dec-24,3982.5,182,Delivered
S00000679,SP01,P05,G4,16-Feb-23,5505.75,221,Delivered
S00000681,SP01,P05,G4,13-Nov-24,5051.25,211,Delivered
S00000694,SP01,P12,G4,03-Apr-24,3735,156,Delivered
S00000710,SP01,P12,G5,12-Sep-24,3798,211,Cancelled
S00000711,SP01,P12,G5,20-Feb-25,7209,401,Shipped
S00000715,SP01,P12,G1,05-Dec-23,7157.25,377,Cancelled
S00000716,SP01,P12,G1,02-May-24,8244,393,Delivered
S00000720,SP01,P12,G3,18-Oct-23,2790,122,Delivered
S00000730,SP01,P03,G1,24-Jul-24,8878.5,387,Delivered
S00000732,SP01,P03,G2,04-Sep-24,459,20,Delivered
S00000737,SP01,P03,G4,20-Jan-23,6309,275,Delivered
S00000742,SP01,P03,G1,05-Mar-25,6378.75,319,Placed
S00000744,SP01,P03,G1,26-Sep-24,5798.25,306,Delivered
S00000746,SP01,P03,G2,21-Nov-24,2461.5,137,Delivered
S00000755,SP01,P03,G6,02-Jul-24,3172.5,167,Delivered
S00000760,SP01,P03,G2,27-Sep-24,2301.75,105,Cancelled
S00000766,SP01,P03,G5,03-Jul-24,6655.5,303,Delivered
S00000770,SP01,P03,G1,06-Aug-24,5168.25,216,Delivered
S00000773,SP01,P03,G1,08-Oct-24,4466.25,187,Delivered
S00000780,SP01,P03,G5,22-Sep-23,533.25,30,Delivered
S00000783,SP01,P03,G6,20-Nov-24,774,46,Delivered
S00000796,SP01,P03,G5,28-Jul-23,3852,214,Delivered
S00000805,SP01,P03,G4,22-Mar-24,13065.75,688,Delivered
S00000808,SP01,P03,G5,23-Aug-23,3224.25,190,Delivered
S00000810,SP01,P03,G5,01-Apr-24,2043,103,Delivered
S00000815,SP01,P22,G1,16-Oct-23,3521.25,131,Delivered
S00000820,SP01,P22,G4,12-Nov-24,261,11,Delivered
S00000823,SP01,P22,G5,10-Jan-24,2666.25,89,Delivered
S00000826,SP01,P22,G1,17-Jul-23,8219.25,329,Delivered
S00000841,SP01,P22,G1,05-May-23,204.75,9,Delivered
S00000842,SP01,P22,G1,28-May-24,4335.75,174,Delivered
S00000850,SP01,P22,G5,08-May-23,5899.5,236,Delivered
S00000854,SP01,P22,G1,25-Oct-24,9675,373,Delivered
S00000876,SP01,P22,G4,25-Jan-24,7971.75,307,Delivered
S00000878,SP01,P22,G5,26-Mar-24,5195.25,217,Delivered
S00000882,SP01,P07,G1,24-Jul-24,7411.5,391,Delivered
S00000886,SP01,P07,G2,11-Oct-23,6360.75,398,Delivered
S00000888,SP01,P07,G3,09-Oct-23,10048.5,629,Cancelled
S00000903,SP01,P07,G4,06-Dec-23,9558,638,Delivered
S00000914,SP01,P07,G2,28-Apr-23,8808.75,588,Delivered
S00000920,SP01,P07,G5,18-Oct-24,3791.25,316,Delivered
S00000927,SP01,P17,G1,13-Feb-23,8833.5,305,Delivered
S00000939,SP01,P17,G1,24-Feb-23,16110,597,Delivered
S00000942,SP01,P17,G2,12-Feb-24,12143.25,434,Delivered
S00000948,SP01,P17,G5,29-Jan-24,371.25,15,Delivered
S00000952,SP01,P17,G1,05-Oct-23,7845.75,281,Delivered
S00000953,SP01,P17,G1,16-Oct-24,6277.5,242,Delivered
S00000957,SP01,P17,G2,26-Apr-23,756,30,Delivered
S00000967,SP01,P17,G1,19-Jul-23,974.25,35,Delivered
S00000972,SP01,P17,G3,24-Mar-25,1028.25,40,Placed
S00000975,SP01,P17,G4,08-Apr-24,12210.75,489,Delivered
S00000985,SP01,P17,G2,25-Aug-23,11508.75,443,Delivered
S00000987,SP01,P17,G4,29-Jul-24,7440.75,311,Delivered
S00000995,SP01,P08,G1,30-Jan-25,10575,756,Cancelled
S00001002,SP01,P08,G4,10-Sep-24,7326,611,Delivered
S00001018,SP01,P08,G5,06-Nov-23,7272,455,Delivered
S00001029,SP01,P08,G4,19-Dec-24,17457.75,1746,Delivered
S00001044,SP01,P08,G4,13-Mar-25,967.5,61,Cancelled
S00001052,SP01,P08,G1,17-Sep-24,13612.5,1362,Delivered
S00001055,SP01,P08,G2,03-Apr-24,6588,507,Cancelled
S00001087,SP01,P13,G4,08-Oct-24,2965.5,270,Delivered
S00001098,SP01,P13,G3,17-Oct-23,2686.5,538,Delivered
S00001103,SP01,P13,G5,22-Jul-24,6455.25,807,Delivered
S00001106,SP01,P13,G1,03-Dec-24,2139.75,195,Delivered
S00001130,SP01,P13,G5,31-Mar-23,3847.5,350,Delivered
S00001134,SP01,P02,G1,20-Dec-23,9465.75,1184,Delivered
S00001144,SP01,P02,G5,03-Jan-25,1487.25,136,Shipped
S00001153,SP01,P02,G2,07-Feb-25,4623.75,331,Shipped
S00001161,SP01,P02,G6,21-Dec-23,2407.5,219,Delivered
S00001171,SP01,P20,G4,28-Jun-24,2594.25,200,Delivered
S00001172,SP01,P20,G5,16-Oct-24,558,80,Delivered
S00001176,SP01,P20,G1,05-Nov-24,13011.75,1183,Delivered
S00001181,SP01,P20,G2,22-Dec-23,4538.25,757,Delivered
S00001194,SP01,P20,G2,10-Jan-25,1935,323,Shipped
S00001204,SP01,P20,G1,14-Dec-23,6356.25,636,Delivered
S00001205,SP01,P20,G1,29-Jan-24,6855.75,686,Delivered
S00001211,SP01,P20,G4,07-Jan-25,10534.5,1054,Shipped
S00001219,SP01,P20,G1,03-Jul-24,3231,249,Delivered
S00001223,SP01,P20,G2,30-Apr-24,5528.25,615,Delivered
S00001228,SP01,P20,G5,21-Nov-23,6147,513,Delivered
S00001242,SP01,P20,G5,27-Dec-24,3982.5,569,Delivered
S00001248,SP01,P09,G1,19-Nov-24,1791,120,Delivered
S00001257,SP01,P09,G5,07-May-24,4727.25,263,Delivered
S00001261,SP01,P09,G1,24-Oct-24,3089.25,221,Delivered
S00001262,SP01,P09,G1,25-Jan-23,4635,290,Delivered
S00001263,SP01,P09,G1,27-Jun-23,8124.75,478,Delivered
S00001266,SP01,P09,G3,25-Jun-24,9299.25,465,Delivered
S00001269,SP01,P09,G4,19-Apr-23,3656.25,282,Delivered
S00001275,SP01,P09,G1,30-Jan-23,5355,268,Delivered
S00001279,SP01,P09,G2,08-Nov-23,8104.5,451,Delivered
S00001291,SP01,P09,G1,30-May-24,3489.75,175,Delivered
S00001307,SP01,P18,G2,13-Oct-23,8214.75,343,Delivered
S00001309,SP01,P18,G4,12-Feb-25,8037,383,Shipped
S00001311,SP01,P18,G4,05-Jul-24,6018.75,251,Delivered
S00001319,SP01,P18,G1,31-Jan-24,7485.75,300,Delivered
S00001326,SP01,P18,G5,18-Nov-24,10876.5,518,Delivered
S00001331,SP01,P18,G1,04-Jun-24,5584.5,266,Delivered
S00001339,SP01,P18,G4,11-Jan-23,6367.5,304,Delivered
S00001340,SP01,P18,G5,21-Aug-24,9405,392,Delivered
S00001357,SP01,P14,G6,30-Jan-24,3267,126,Delivered
S00001360,SP01,P14,G1,11-Jan-24,4488.75,180,Delivered
S00001363,SP01,P14,G2,01-Feb-23,2526.75,98,Delivered
S00001364,SP01,P14,G3,15-Mar-23,7524,342,Delivered
S00001366,SP01,P14,G4,29-Dec-23,5625,209,Delivered
S00001367,SP01,P14,G4,25-Mar-24,4428,202,Delivered
S00001376,SP01,P14,G2,20-Feb-25,3602.25,157,Shipped
S00001391,SP01,P14,G2,01-Mar-24,10044,402,Delivered
S00001393,SP01,P14,G4,20-Mar-24,2655,111,Delivered
S00001402,SP01,P01,G1,04-Sep-23,2184.75,85,Delivered
S00001404,SP01,P01,G2,16-Jan-24,2081.25,95,Delivered
S00001411,SP01,P01,G5,18-Sep-23,4446,194,Delivered
S00001412,SP01,P01,G5,12-Mar-25,1257.75,67,Placed
S00001414,SP01,P01,G1,18-Nov-24,6828.75,297,Delivered
S00001422,SP01,P01,G4,02-Sep-24,6878.25,265,Delivered
S00001424,SP01,P01,G5,16-Feb-23,263.25,12,Delivered
S00001430,SP01,P01,G1,22-Jun-23,2621.25,101,Delivered
S00001435,SP01,P01,G4,20-Jul-23,11803.5,473,Delivered
S00001446,SP01,P01,G2,03-Feb-25,10541.25,528,Shipped
S00001450,SP01,P01,G4,03-Jan-23,9684,404,Delivered
S00001475,SP01,P06,G2,24-Feb-25,7947,795,Shipped
S00001478,SP01,P06,G4,03-Jun-24,6511.5,543,Delivered
S00001480,SP01,P06,G5,11-Jul-23,12737.25,980,Delivered
S00001482,SP01,P06,G5,17-Jul-24,1307.25,119,Delivered
S00001483,SP01,P06,G6,12-Dec-23,774,111,Delivered
S00001488,SP01,P06,G2,19-Dec-23,10280.25,1029,Delivered
S00001500,SP01,P06,G1,15-Jul-24,2938.5,327,Delivered
S00001508,SP01,P06,G5,28-Jan-25,2925,418,Shipped
S00001549,SP01,P19,G4,05-Jul-23,4882.5,222,Delivered
S00001550,SP01,P19,G5,02-Dec-24,4.5,1,Delivered
S00001553,SP01,P19,G6,02-Oct-23,11000.25,501,Delivered
S00001557,SP01,P19,G1,12-Apr-23,2691,129,Delivered
S00001559,SP01,P19,G2,31-Oct-23,3719.25,149,Delivered
S00001563,SP01,P19,G4,03-May-23,4461.75,213,Delivered
S00001567,SP01,P19,G6,06-Dec-23,58.5,3,Cancelled
S00001569,SP01,P19,G1,19-Jul-24,1982.25,77,Cancelled
S00001571,SP01,P19,G1,05-Feb-25,5379.75,257,Shipped
S00001590,SP01,P15,G4,24-Oct-24,618.75,42,Delivered
S00001591,SP01,P15,G4,18-Jan-23,7344,525,Cancelled
S00001594,SP01,P15,G5,03-Mar-23,6360.75,425,Delivered
S00001602,SP01,P15,G3,28-Feb-24,2760.75,185,Delivered
S00001624,SP01,P15,G1,18-Sep-24,5544,462,Delivered
S00001626,SP01,P15,G1,26-Dec-24,4032,269,Delivered
S00001632,SP01,P15,G4,09-Jan-24,12978,927,Delivered
S00001635,SP01,P15,G5,16-Oct-24,2175.75,198,Delivered
S00001640,SP01,P15,G1,06-Feb-23,6149.25,440,Delivered
S00001643,SP01,P15,G2,30-Oct-24,5593.5,373,Delivered
S00001655,SP01,P11,G1,10-Jun-24,330.75,37,Delivered
S00001678,SP01,P11,G5,13-Jan-23,605.25,56,Delivered
S00001691,SP01,P11,G5,23-Apr-24,987.75,124,Delivered
S00001693,SP01,P11,G6,29-Aug-23,6072.75,434,Delivered
S00001704,SP01,P11,G5,18-Oct-23,877.5,98,Delivered
S00001708,SP01,P10,G1,03-Dec-24,4367.25,230,Delivered
S00001713,SP01,P10,G2,11-Dec-24,4047.75,270,Delivered
S00001715,SP01,P10,G4,25-Oct-24,6318,452,Delivered
S00001718,SP01,P10,G5,12-Sep-23,8466.75,499,Delivered
S00001721,SP01,P10,G6,17-Mar-23,4853.25,286,Cancelled
S00001723,SP01,P10,G1,06-Feb-24,8635.5,540,Delivered
S00001724,SP01,P10,G1,27-Jun-23,4189.5,247,Delivered
S00001736,SP01,P10,G1,06-Oct-23,6916.5,407,Delivered
S00001737,SP01,P10,G1,21-Feb-23,4905,327,Delivered
S00001743,SP01,P10,G4,04-Oct-23,5141.25,286,Delivered
S00001749,SP01,P10,G6,16-Dec-24,8896.5,636,Delivered
S00001753,SP01,P04,G1,26-Dec-24,9058.5,324,Delivered
S00001761,SP01,P04,G5,18-Jul-24,6948,249,Delivered
S00001766,SP01,P04,G1,21-Jan-25,2070,80,Shipped
S00001769,SP01,P04,G2,30-Dec-24,740.25,26,Delivered
S00001774,SP01,P04,G5,26-Jan-24,8419.5,337,Delivered
S00001779,SP01,P04,G1,11-Dec-24,1847.25,77,Delivered
S00001782,SP01,P04,G2,22-Aug-23,4464,179,Delivered
S00001792,SP01,P04,G1,05-Dec-23,12186,436,Delivered
S00001801,SP01,P04,G4,01-Feb-24,4767.75,191,Delivered
S00001811,SP01,P16,G2,10-Jan-23,873,40,Delivered
S00001825,SP01,P16,G2,22-Aug-23,3627,135,Delivered
S00001827,SP01,P16,G4,12-Dec-23,9290.25,345,Delivered
S00001832,SP01,P16,G5,09-Jan-23,3930.75,146,Delivered
S00001846,SP01,P16,G5,18-Nov-24,2396.25,120,Delivered
S00001860,SP01,P16,G5,21-May-24,2997,116,Delivered
S00001863,SP01,P16,G1,29-Apr-24,2706.75,118,Delivered
S00001874,SP01,P16,G5,30-Jan-23,13443.75,518,Delivered
S00001881,SP01,P16,G2,14-Dec-23,8840.25,328,Cancelled
S00001885,SP01,P16,G4,08-Dec-23,10703.25,446,Delivered
S00001896,SP01,P16,G3,07-Oct-24,5544,252,Delivered
S00001897,SP01,P16,G4,07-Jul-23,5697,272,Delivered
S00001903,SP01,P16,G6,12-Aug-24,6531.75,327,Delivered
S00001914,SP01,P21,G5,20-Jun-24,6745.5,307,Delivered
S00001917,SP01,P21,G6,29-Dec-23,10860.75,544,Delivered
S00001920,SP01,P21,G1,11-Jul-23,18726.75,852,Delivered
S00001931,SP01,P21,G6,03-Nov-23,1028.25,52,Delivered
S00001937,SP01,P21,G2,13-Mar-23,5976,272,Delivered
S00001940,SP01,P21,G4,04-Jul-23,4304.25,270,Cancelled
S00001952,SP01,P21,G3,27-Nov-24,294.75,17,Delivered
S00001959,SP01,P21,G6,19-Jul-24,4007.25,236,Delivered
S00001960,SP01,P21,G1,28-Jan-25,5586.75,254,Shipped
S00001962,SP01,P21,G1,18-Jan-23,6205.5,283,Delivered
S00001964,SP01,P21,G2,29-Jul-24,8385.75,494,Delivered
S00001966,SP01,P21,G3,10-Feb-25,11459.25,675,Shipped
S00001971,SP01,P21,G5,03-May-24,1435.5,80,Delivered
S00001981,SP01,P05,G4,23-Dec-24,5238,219,Delivered
S00001985,SP01,P05,G5,01-Dec-23,3525.75,186,Delivered
S00001986,SP01,P05,G5,02-May-24,7186.5,343,Delivered
S00001993,SP01,P05,G2,28-Mar-24,3735,197,Cancelled
S00002007,SP01,P05,G2,19-Sep-23,7362,307,Delivered
S00002013,SP01,P05,G5,07-Nov-23,8563.5,330,Delivered
S00002015,SP01,P05,G6,29-Apr-24,10694.25,510,Delivered
S00002018,SP01,P05,G1,02-Feb-24,9533.25,398,Delivered
S00002029,SP01,P05,G6,01-Feb-24,7134.75,325,Delivered
S00002037,SP01,P12,G4,07-Jan-25,11074.5,554,Shipped
S00002043,SP01,P12,G6,08-Jan-24,5229,262,Delivered
S00002048,SP01,P12,G2,25-Apr-24,7128,324,Delivered
S00002064,SP01,P12,G3,11-Jan-23,6972.75,388,Delivered
S00002066,SP01,P12,G4,16-Jan-24,11493,523,Delivered
S00002069,SP01,P12,G5,28-Dec-23,6248.25,313,Delivered
S00002073,SP01,P03,G1,20-Dec-24,8273.25,460,Delivered
S00002075,SP01,P03,G1,26-Jan-23,6086.25,359,Cancelled
S00002079,SP01,P03,G4,14-Sep-23,8381.25,466,Delivered
S00002088,SP01,P03,G1,22-Aug-23,4374,183,Delivered
S00002089,SP01,P03,G1,24-Oct-23,634.5,34,Delivered
S00002091,SP01,P03,G2,09-Apr-24,1595.25,73,Delivered
S00002094,SP01,P03,G4,11-Dec-24,5672.25,316,Delivered
S00002098,SP01,P03,G5,13-Jan-25,6799.5,324,Shipped
S00002101,SP01,P03,G1,30-Jul-24,1055.25,63,Delivered
S00002106,SP01,P03,G3,29-Jul-24,1469.25,62,Delivered
S00002111,SP01,P03,G5,11-Feb-25,445.5,25,Shipped
S00002116,SP01,P03,G1,22-Aug-23,10071,458,Delivered
S00002117,SP01,P03,G1,10-Feb-25,5611.5,281,Shipped
S00002119,SP01,P03,G2,17-Oct-23,2146.5,98,Delivered
S00002137,SP01,P03,G4,05-Nov-24,2425.5,111,Delivered
S00002143,SP01,P03,G1,25-Apr-24,2421,116,Delivered
S00002150,SP01,P03,G4,01-Nov-24,8642.25,433,Delivered
S00002162,SP01,P22,G3,13-Nov-24,4018.5,130,Delivered
S00002167,SP01,P22,G5,23-Nov-23,1320.75,56,Delivered
S00002168,SP01,P22,G5,02-Oct-23,4126.5,153,Delivered
S00002173,SP01,P22,G1,24-May-23,6972.75,233,Delivered
S00002181,SP01,P22,G5,22-Jan-24,3375,121,Delivered
S00002188,SP01,P22,G2,20-Oct-23,4644,179,Delivered
S00002191,SP01,P22,G4,27-Dec-23,3372.75,141,Delivered
S00002198,SP01,P22,G1,10-Jan-23,3190.5,133,Delivered
S00002203,SP01,P22,G2,05-Dec-24,4907.25,159,Delivered
S00002206,SP01,P22,G4,02-Feb-23,10752.75,431,Delivered
S00002208,SP01,P22,G5,22-Mar-23,1595.25,57,Delivered
S00002210,SP01,P22,G5,23-Jun-23,5199.75,217,Delivered
S00002213,SP01,P22,G1,09-Jan-23,12069,417,Delivered
S00002244,SP01,P07,G2,11-Jul-24,6565.5,469,Delivered
S00002248,SP01,P07,G4,20-Nov-24,9353.25,551,Delivered
S00002249,SP01,P07,G4,03-Jan-25,8536.5,610,Shipped
S00002257,SP01,P07,G1,02-Jan-24,1370.25,115,Delivered
S00002260,SP01,P07,G3,05-Jan-24,2695.5,225,Delivered
S00002261,SP01,P07,G4,17-Jan-23,5755.5,320,Delivered
S00002271,SP01,P17,G1,05-Feb-24,702,31,Delivered
S00002279,SP01,P17,G5,24-Oct-24,13421.25,611,Delivered
S00002287,SP01,P17,G2,20-Apr-23,7665.75,295,Delivered
S00002291,SP01,P17,G4,05-Jul-24,12091.5,448,Cancelled
S00002299,SP01,P17,G1,17-Dec-24,1224,54,Delivered
S00002300,SP01,P17,G2,08-Feb-24,4457.25,154,Delivered
S00002305,SP01,P17,G4,12-Feb-24,9517.5,329,Delivered
S00002312,SP01,P17,G1,04-May-23,10824.75,493,Delivered
S00002315,SP01,P17,G2,22-Aug-24,3582,128,Delivered
S00002321,SP01,P17,G5,29-Jul-24,3987,154,Delivered
S00002324,SP01,P17,G1,13-Dec-23,369,16,Delivered
S00002325,SP01,P17,G1,10-Sep-24,5161.5,192,Delivered
S00002328,SP01,P17,G2,20-Mar-25,1440,50,Placed
S00002334,SP01,P17,G5,20-Nov-24,8169.75,341,Delivered
S00002339,SP01,P08,G1,06-Jun-23,4207.5,324,Delivered
S00002343,SP01,P08,G2,03-Feb-23,164.25,11,Delivered
S00002344,SP01,P08,G3,07-May-24,5870.25,588,Delivered
S00002351,SP01,P08,G6,11-Jul-23,11695.5,836,Delivered
S00002352,SP01,P08,G1,01-Sep-23,6952.5,633,Delivered
S00002360,SP01,P08,G4,17-Feb-25,10485,749,Shipped
S00002362,SP01,P08,G5,25-May-23,3546,323,Delivered
S00002363,SP01,P08,G5,11-Apr-23,1309.5,146,Delivered
S00002368,SP01,P08,G1,04-Sep-24,10131.75,724,Delivered
S00002374,SP01,P08,G4,04-Jan-24,4981.5,499,Delivered
S00002380,SP01,P08,G1,05-Oct-23,418.5,35,Delivered
S00002383,SP01,P08,G1,17-Oct-23,9425.25,1048,Cancelled
S00002386,SP01,P08,G3,31-Jul-24,4236.75,283,Delivered
S00002394,SP01,P08,G1,10-Jan-25,2441.25,153,Shipped
S00002395,SP01,P08,G1,05-Jun-24,639,43,Delivered
S00002406,SP01,P08,G5,12-Aug-24,11326.5,944,Delivered
S00002408,SP01,P08,G1,28-Nov-24,4997.25,313,Delivered
S00002419,SP01,P08,G5,13-Jan-25,9265.5,927,Shipped
S00002436,SP01,P13,G1,21-Mar-25,12687.75,1154,Placed
S00002446,SP01,P13,G5,26-Dec-24,1957.5,245,Delivered
S00002457,SP01,P13,G4,18-Jul-23,5811.75,646,Delivered
S00002462,SP01,P13,G5,13-Jun-23,8192.25,820,Delivered
S00002478,SP01,P02,G1,01-Jul-24,5946.75,496,Delivered
S00002484,SP01,P02,G3,23-Jan-25,4808.25,321,Shipped
S00002492,SP01,P02,G1,02-Oct-24,6457.5,431,Delivered
S00002496,SP01,P02,G2,02-Jun-23,16645.5,1281,Delivered
S00002501,SP01,P02,G4,26-Oct-23,5913,740,Delivered
S00002508,SP01,P20,G1,15-Jan-25,526.5,41,Shipped
S00002510,SP01,P20,G2,02-Jan-25,4133.25,517,Shipped
S00002513,SP01,P20,G4,26-Nov-24,2639.25,440,Delivered
S00002515,SP01,P20,G4,18-Aug-23,380.25,43,Delivered
S00002520,SP01,P20,G1,13-Jan-23,9596.25,1600,Delivered
S00002530,SP01,P20,G5,06-Sep-24,7056,1176,Delivered
